[Tue Apr 01 21:23:20.803195 2025] [ssl:warn] [pid 6184:tid 484] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Tue Apr 01 21:23:20.835636 2025] [ssl:warn] [pid 6184:tid 484] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Tue Apr 01 21:23:21.202303 2025] [mpm_winnt:notice] [pid 6184:tid 484] AH00455: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 configured -- resuming normal operations
[Tue Apr 01 21:23:21.202303 2025] [mpm_winnt:notice] [pid 6184:tid 484] AH00456: Apache Lounge VS17 Server built: Oct 18 2023 13:03:18
[Tue Apr 01 21:23:21.202303 2025] [core:notice] [pid 6184:tid 484] AH00094: Command line: 'c:\\web_project\\xampp\\apache\\bin\\httpd.exe -d C:/Web_Project/XAMPP/apache'
[Tue Apr 01 21:23:21.208729 2025] [mpm_winnt:notice] [pid 6184:tid 484] AH00418: Parent: Created child process 8144
[Tue Apr 01 21:23:21.473737 2025] [ssl:warn] [pid 8144:tid 488] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Tue Apr 01 21:23:21.501950 2025] [ssl:warn] [pid 8144:tid 488] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Tue Apr 01 21:23:21.529009 2025] [mpm_winnt:notice] [pid 8144:tid 488] AH00354: Child: Starting 150 worker threads.
[Tue Apr 01 21:28:19.478130 2025] [php:warn] [pid 8144:tid 1944] [client ::1:50113] PHP Warning:  session_start(): open(C:\\Web_Project\\xampp\\tmp\\sess_foadqc02c8jvkbt56jfu4mdep8, O_RDWR) failed: No such file or directory (2) in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 2
[Tue Apr 01 21:28:19.478130 2025] [php:warn] [pid 8144:tid 1944] [client ::1:50113] PHP Warning:  session_start(): Failed to read session data: files (path: C:\\Web_Project\\xampp\\tmp) in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 2
[Tue Apr 01 21:28:23.549502 2025] [php:error] [pid 8144:tid 1944] [client ::1:50113] PHP Fatal error:  Uncaught mysqli_sql_exception: No connection could be made because the target machine actively refused it in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:36:24.987629 2025] [php:error] [pid 8144:tid 1952] [client ::1:50331] PHP Fatal error:  Uncaught mysqli_sql_exception: No connection could be made because the target machine actively refused it in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:37:18.173636 2025] [php:error] [pid 8144:tid 1944] [client ::1:50332] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:37:19.640172 2025] [php:error] [pid 8144:tid 1944] [client ::1:50332] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:37:20.645514 2025] [php:error] [pid 8144:tid 1944] [client ::1:50332] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:37:27.511146 2025] [php:error] [pid 8144:tid 1952] [client ::1:50344] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:38:24.518944 2025] [php:error] [pid 8144:tid 1944] [client ::1:50359] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:39:56.036448 2025] [php:error] [pid 8144:tid 1952] [client ::1:50372] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
[Tue Apr 01 21:47:44.324804 2025] [php:error] [pid 8144:tid 1944] [client ::1:50471] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:9\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(9): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 9
[Tue Apr 01 21:47:57.228000 2025] [php:error] [pid 8144:tid 1952] [client ::1:50472] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:9\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(9): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 9
[Tue Apr 01 21:52:33.424102 2025] [php:error] [pid 8144:tid 1952] [client ::1:50517] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'users_db' in C:\\Web_Project\\XAMPP\\htdocs\\Login.php:8\nStack trace:\n#0 C:\\Web_Project\\XAMPP\\htdocs\\Login.php(8): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue), 'users_db')\n#1 {main}\n  thrown in C:\\Web_Project\\XAMPP\\htdocs\\Login.php on line 8
